cid,Smiles,Standard Value,pIC50 Value
23647975.0,COc1cc(cc(Cc2cnc(N)nc2N)c1OC)C#CCCCC(O)=O,34.0,7.468521082957745
5578.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,2722.0,5.565111879132684
54369.0,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,14.224,7.846978256373862
6481073.0,COc1ccc(OCCCC(O)=O)cc1Cc1cnc2nc(N)nc(N)c2c1C,1.9,8.721246399047171
6481074.0,COc1ccc(OCCCCC(O)=O)cc1Cc1cnc2nc(N)nc(N)c2c1C,2.3,8.638272163982407
6481075.0,COc1ccc(OCCCCCC(O)=O)cc1Cc1cnc2nc(N)nc(N)c2c1C,2.0,8.698970004336019
6481076.0,COc1ccc(OCCCC(O)=O)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,2.3,8.638272163982407
6481077.0,COc1ccc(cc1Cc1cnc2nc(N)nc(N)c2c1C)C#CCCC(O)=O,0.46,9.337242168318426
6481078.0,COc1ccc(cc1Cc1cnc2nc(N)nc(N)c2c1C)C#CCCCC(O)=O,4.3,8.366531544420413
6481079.0,COc1ccc(cc1Cc1cnc2nc(N)nc(N)c2c1C)C#CCCCCC(O)=O,3.2,8.494850021680094
6481080.0,COc1ccc(C#CCCC(O)=O)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,4.1,8.387216143280265
6481081.0,COc1ccc(C#CCCCC(O)=O)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,5.8,8.236572006437063
11396736.0,Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4cc(ccc34)C#CCC(O)=O)cnc2n1,100.0,7.0
11190448.0,Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4cc(ccc34)C#CCCC(O)=O)cnc2n1,77.0,7.113509274827518
11431512.0,Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4cc(ccc34)C#CCCCC(O)=O)cnc2n1,21.0,7.67778070526608
6481085.0,COc1cc(Cc2cnc(N)nc2N)cc(C#CCCC(O)=O)c1Br,15.0,7.823908740944319
6481086.0,CCOC(=O)CCCOc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,3.4,8.468521082957745
6481087.0,CCOC(=O)CCCCOc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,11.0,7.958607314841775
6481088.0,CCOC(=O)CCCCCOc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,13.0,7.886056647693163
6481089.0,COc1ccc(OCc2ccccc2)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,16.0,7.795880017344075
6481090.0,CCOC(=O)CCCOc1ccc(OC)cc1Cc1cnc2nc(N)nc(N)c2c1C,10.0,8.0
6481091.0,COc1ccc(I)cc1Cc1cnc2nc(N)nc(N)c2c1C,4.1,8.387216143280265
6481092.0,COc1ccc(I)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,5.8,8.236572006437063
16732891.0,CCc1c(Sc2cccc3ccccc23)[nH]c2nc(N)nc(N)c12,3150.0,5.501689446210399
23647976.0,Cc1c(Sc2ccc3ccccc3c2)[nH]c2nc(N)nc(N)c12,880.0,6.055517327849832
16732892.0,CCc1c(Sc2ccc3ccccc3c2)[nH]c2nc(N)nc(N)c12,5120.0,5.29073003902417
16732893.0,CCc1c(Sc2ccc(cc2)[N+]([O-])=O)[nH]c2nc(N)nc(N)c12,320.0,6.494850021680094
16733029.0,CCc1c(Sc2ccc(Br)cc2)[nH]c2nc(N)nc(N)c12,11600.0,4.935542010773082
5742618.0,Cc1c(Sc2cccc(Cl)c2)[nH]c2nc(N)nc(N)c12,6940.0,5.158640529545145
16733030.0,CCc1c(Sc2cccc(Cl)c2)[nH]c2nc(N)nc(N)c12,500.0,6.301029995663981
5742619.0,Cc1c(Sc2ccc(Cl)cc2)[nH]c2nc(N)nc(N)c12,8930.0,5.049148541111453
16733031.0,CCc1c(Sc2ccc(Cl)cc2)[nH]c2nc(N)nc(N)c12,1540.0,5.8124792791635365
23647977.0,Cc1c(Sc2ccc(Cl)c(Cl)c2)[nH]c2nc(N)nc(N)c12,20000.0,4.698970004336019
16733032.0,CCc1c(Sc2ccc(Cl)c(Cl)c2)[nH]c2nc(N)nc(N)c12,27600.0,4.559090917934783
16733162.0,CCc1c(Sc2ccc(Cl)cc2Cl)[nH]c2nc(N)nc(N)c12,220.0,6.657577319177793
16733033.0,CCc1c(Sc2c(Cl)cccc2Cl)[nH]c2nc(N)nc(N)c12,3800.0,5.42021640338319
5742621.0,COc1ccc(Sc2[nH]c3nc(N)nc(N)c3c2C)cc1,2690.0,5.570247719997592
16733163.0,CCc1c(Sc2ccc(OC)cc2)[nH]c2nc(N)nc(N)c12,4620.0,5.335358024443875
5742623.0,COc1ccc(OC)c(Sc2[nH]c3nc(N)nc(N)c3c2C)c1,170.0,6.769551078621726
16733034.0,CCc1c(Sc2cc(OC)ccc2OC)[nH]c2nc(N)nc(N)c12,120.0,6.920818753952375
16733035.0,CCc1c(Sc2cccc(OC)c2)[nH]c2nc(N)nc(N)c12,1090.0,5.962573502059376
16733164.0,CCc1c(Sc2ccccc2)[nH]c2nc(N)nc(N)c12,180.0,6.7447274948966935
16733036.0,CCc1c(Sc2cccc3cccnc23)[nH]c2nc(N)nc(N)c12,160.0,6.795880017344075
16733165.0,CCc1c(Sc2c(C)cccc2C)[nH]c2nc(N)nc(N)c12,7100.0,5.1487416512809245
5583.0,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,10.0,8.0
16110322.0,COc1cc(CCc2cnc(N)nc2N)cc(OC)c1OC,90200.0,4.044793462458058
16110323.0,COc1cc(CC#Cc2cnc(N)nc2N)cc(OC)c1OC,21700.0,4.663540266151471
16110337.0,COc1cc(CC#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,880.0,6.055517327849832
16110338.0,COc1cc(cc(OC)c1OC)C(C)C#Cc1cnc(N)nc1N,3100.0,5.508638306165727
16110326.0,COc1cc(cc(OC)c1OC)C(C)C#Cc1c(C)nc(N)nc1N,120.0,6.920818753952375
16110339.0,COc1cc(cc(OC)c1OC)C(O)C#Cc1cnc(N)nc1N,17900.0,4.747146969020107
16110328.0,COc1cc(cc(OC)c1OC)C(O)C#Cc1c(C)nc(N)nc1N,9100.0,5.040958607678906
16110329.0,COC(C#Cc1cnc(N)nc1N)c1cc(OC)c(OC)c(OC)c1,9800.0,5.008773924307505
16110341.0,COC(C#Cc1c(C)nc(N)nc1N)c1cc(OC)c(OC)c(OC)c1,550.0,6.259637310505756
16110344.0,COc1cc(cc(OC)c1OC)[C@@H](C)C#Cc1c(C)nc(N)nc1N,1.4,8.853871964321762
16110334.0,COc1cc(cc(OC)c1OC)[C@H](C)C#Cc1c(C)nc(N)nc1N,13.0,7.886056647693163
10433577.0,Cc1c(Sc2ccc(cc2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)[nH]c2nc(N)nc(N)c12,985.0,6.006563769502388
10433635.0,Cc1c(Sc2ccc(cc2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)[nH]c2nc(N)[nH]c(=O)c12,2900.0,5.537602002101044
443388.0,Nc1nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cc2c(=O)[nH]1,233.75,6.631248380455444
126941.0,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,29.625,7.528341640981839
104758.0,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(s1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1376.0,5.861381566100508
45040187.0,Nc1nc2[nH]cc(CCc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)c2c(=O)[nH]1,1666.6666666666667,5.778151250383644
24742034.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,126.5,6.897909474488163
24754609.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccccc1,21450.0,4.668572703479257
24754835.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccncc1,17500.0,4.756961951313706
24754675.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(F)cc1,11900.0,4.924453038607469
24754909.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(Cl)cc1,8675.0,5.0617305165370885
24754676.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(Br)cc1,9135.0,5.039291448311444
24754976.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(cc1)[N+]([O-])=O,14165.0,4.848783421143544
24754977.0,COc1ccc(Cn2c(C)cc3nc(N)[nH]c(=O)c23)cc1,10250.0,4.989276134608227
24754677.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(OC(F)(F)F)cc1,6650.0,5.177178354696896
24754978.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1cc(Cl)cc(Cl)c1,20500.0,4.688246138944246
24754678.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1cc(Br)cc(Br)c1,22000.0,4.657577319177793
24754979.0,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(Cl)c(Cl)c1,14300.0,4.844663962534939
11248226.0,Cc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,22.0,7.657577319177793
44201386.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,46.05,7.336770365467133
44221343.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccccc1,4216.5,5.375047895336878
44221143.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(Cl)cc1,1104.5,5.956834279792546
44221344.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(cc1)[N+]([O-])=O,504.35,6.297267974835735
44221144.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1cc(OC)ccc1OC,11507.0,4.939037886906167
44221345.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(Cl)c(Cl)c1,504.05,6.297526380921445
44221145.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1cc(Cl)cc(Cl)c1,807.0,6.09312646527793
44221346.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc2ccccc2c1,554.2,6.256333478553787
44221347.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,858.5,6.066259700503065
44221146.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(F)cc1,1312.5,5.8819006879220055
44221538.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(Br)cc1,1106.5,5.956048581736724
44221147.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1cccc(Cl)c1,906.0,6.042871802323187
44221539.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1cc(OC)cc(OC)c1,1162.0,5.934793871945688
44221340.0,CCc1sc2nc(N)[nH]c(=O)c2c1Sc1ccccc1Cl,1263.5,5.898424753744067
6477203.0,COc1ccccc1\C(C)=C\c1coc2nc(N)nc(N)c12,4000.0,5.3979400086720375
11687971.0,COc1ccccc1\C(C)=C/c1coc2nc(N)nc(N)c12,3940.0,5.404503778174426
44246319.0,CCC\C(=C\c1coc2nc(N)nc(N)c12)c1ccccc1OC,11800.0,4.928117992693875
44246320.0,COc1ccccc1\C(=C/c1coc2nc(N)nc(N)c12)C(C)C,7500.0,5.1249387366083
44246321.0,COc1ccccc1\C(=C/c1coc2nc(N)nc(N)c12)C1CC1,4600.0,5.337242168318426
44246322.0,CCCC\C(=C\c1coc2nc(N)nc(N)c12)c1ccccc1OC,30300.0,4.518557371497695
44246323.0,COc1ccccc1\C(CC(C)C)=C/c1coc2nc(N)nc(N)c12,24900.0,4.603800652904264
44246324.0,CCC(C)C(=C\c1coc2nc(N)nc(N)c12)\c1ccccc1OC,5700.0,5.2441251443275085
44246325.0,CCCC(Cc1coc2nc(N)nc(N)c12)c1ccccc1OC,30000.0,4.522878745280337
44246326.0,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,7000.0,5.154901959985743
44246327.0,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C1CC1,4440.0,5.35261702988538
44246328.0,CCCCC(Cc1coc2nc(N)nc(N)c12)c1ccccc1OC,19600.0,4.707743928643524
44246329.0,COc1ccccc1C(CC(C)C)Cc1coc2nc(N)nc(N)c12,22200.0,4.653647025549361
44246330.0,CCC(C)C(Cc1coc2nc(N)nc(N)c12)c1ccccc1OC,15400.0,4.8124792791635365
129010564.0,NC(=N)NC(=N)Nc1ccc(OCCN2C(=O)c3ccccc3C2=O)cc1,40265.0,4.395072296571554
129010565.0,NC(=N)NC(=N)Nc1ccc(OCCCN2C(=O)c3ccccc3C2=O)cc1,135465.0,3.868172898666653
129010566.0,NC(=N)NC(=N)Nc1ccc(OCCCCN2C(=O)c3ccccc3C2=O)cc1,145281.0,3.837791179471481
129010567.0,CC1(C)N=C(N)N=C(N)N1c1ccc(OCCN2C(=O)c3ccccc3C2=O)cc1,424.0,6.372634143407267
129010568.0,CC1(C)N=C(N)N=C(N)N1c1ccc(OCCCN2C(=O)c3ccccc3C2=O)cc1,169.0,6.772113295386326
129010569.0,CC1(C)N=C(N)N=C(N)N1c1ccc(OCCCCN2C(=O)c3ccccc3C2=O)cc1,79.0,7.102372908709558
129010570.0,CC1(C)N=C(N)N=C(N)N1c1ccc(OCC(O)CN2C(=O)c3ccccc3C2=O)cc1,523.0,6.281498311132726
85643665.0,NC(=N)NC(=N)Nc1ccc(OCc2ccccc2)cc1,131649.0,3.880582435427122
46175135.0,NC(=N)NC(=N)Nc1ccc(OCc2cccc(Cl)c2)cc1,58464.0,4.233111474327556
129010571.0,NC(=N)NC(=N)Nc1ccc(OCc2ccccc2Cl)cc1,9948.0,5.0022642234021015
46175137.0,NC(=N)NC(=N)Nc1ccc(OCc2ccc(Cl)cc2Cl)cc1,111146.0,3.954106162377376
129010572.0,NC(=N)NC(=N)Nc1ccc(OCc2ccc(Br)cc2)cc1,21430.0,4.668977828958171
129010573.0,COc1cccc(COc2ccc(NC(=N)NC(N)=N)cc2)c1,8404.0,5.075513956266085
